نام درس,واحد,پیشنیاز همنیاز,نوع
يادگيري ماشين كاربردي,3,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
فيزيك۱,3,,پايه
فيزيك۲,3,,دروس پايه
آزمايشگاه فيزيك۲,1,,دروس پايه
كارگاه عمومي,1,,پايه
آمار واحتمالات مهندسي,3,,دروس پايه
رياضي عمومي ۱,3,,پايه
رياضي ۲,3,,پايه
معادلات ديفرانسيل,3,,دروس پايه
فارسي عمومي,3,,عمومي
زبان عمومي,3,,عمومي
تربيت بدني,1,,دروس عمومي
ورزش۱,1,,دروس عمومي
انديشه اسلامي ۱,2,,عمومي
انديشه اسلامي ۲,2,,عمومي
اخلاق اسلامي (مباني و مفاهيم),2,,دروس عمومي
انقلاب اسلامي ايران,2,,دروس عمومي
تاريخ تحليلي صدر اسلام,2,,دروس عمومي
تفسير موضوعي قران,2,,دروس عمومي
تفسير موضوعي نهج البلاغه,2,,دروس عمومي
دانش خانواده و جمعيت,2,,دروس عمومي
علوم و معارف دفاع مقدس ومقاومت,2,,دروس عمومي
پروژه مهندسي كامپيوتر,3,,پروژه تخصصي
آشنايي با صنعت كامپيوتر( كاربيني),1,,مهارتي-اشتغال پذيري
مهارت نرمي شغلي,2,,مهارتي-اشتغال پذيري
كارآموزي,2,,مهارتي-اشتغال پذيري
محاسبات عددي,3,,تخصصي الزامي (انتخابي)
طراحي مدارهاي مجتمع پرتراكم,3,,تخصصي الزامي (انتخابي)
مديريت پروژه هاي فناوري اطلاعات,3,,تخصصي الزامي (انتخابي)
طراحي در سطح سيستم,3,,تخصصي الزامي (انتخابي)
داده كاوي,3,,تخصصي الزامي (انتخابي)
طراحي الگوريتم ها,3,,تخصصي الزامي (انتخابي)
سيگنال ها و سيستم ها,3,,تخصصي الزامي (انتخابي)
طراحي پايگاه داده ها,3,,تخصصي الزامي (انتخابي)
طراحي زبان هاي برنامه سازي,3,,تخصصي الزامي (انتخابي)
بازيابي اطلاعات,3,,تخصصي الزامي (انتخابي)
طراحي كامپايلرها,3,,تخصصي الزامي (انتخابي)
مهندسي نرم افزار,3,,تخصصي الزامي (انتخابي)
شبيه سازي كامپيوتري,3,,تخصصي الزامي (انتخابي)
رايانش چند هسته اي,3,,تخصصي الزامي (انتخابي)
مجموع,282,,110 درس
