id,دانشكده,گروه آموزشي,شماره و گروه درس,نام درس,واحد کل,واحد ع,ظر فيت,ثبت نام شده,تعداد ليست انتظار,جنسيت,نام استاد,زمان و مكان ارائه/ امتحان,توضيحات,امكان اخذ درس توسط ساير مراكز,حذف اضطراري
1,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010104_01,آمارو احتمالات,3,1,30,1,0,مختلط,وليزاده محرم,"درس(ت): دوشنبه    09:30-11:30 مکان: كلاس 203
 درس(ع): دوشنبه    13:00-15:00 مکان: كلاس 203
  امتحان(1404.11.04)  ساعت : 07:30-09:30",,-,امكان دارد
2,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010205_01,آبياري عمومي,3,1,35,9,0,مختلط,شهرياري عليرضا,"درس(ت): چهارشنبه  09:30-11:30 مکان: كلاس 203
 درس(ع): چهارشنبه  13:00-15:00
  امتحان(1404.10.28)  ساعت : 09:30-11:30",,-,امكان دارد
3,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010214_01,انسان ومحيط زيست,2,0,35,19,0,مختلط,شهرياري عليرضا,"درس(ت): سه شنبه   13:00-15:00 مکان: كلاس 201
  امتحان(1404.10.29)  ساعت : 07:30-09:30",,-,امكان دارد
4,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010363_01,آشنايي با سازه ها درفضاي سبز,2,1,35,1,0,مختلط,حسيني نسب مرضيه,"درس(ت): سه شنبه   09:30-11:30 ز مکان: كلاس 202
 درس(ع): دوشنبه    09:30-11:30
  امتحان(1404.10.29)  ساعت : 07:30-09:30",,-,امكان دارد
5,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010364_01,بيان تصويري,3,2,35,12,0,مختلط,اساتيد گروه آموزشي,"درس(ت): شنبه      13:00-15:00 ز مکان: گراقيك و نقشه كشي 01
 درس(ع): شنبه      07:30-09:30 مکان: گراقيك و نقشه كشي 01
 درس(ع): شنبه      09:30-11:30 مکان: گراقيك و نقشه كشي 01
  امتحان(1404.11.07)  ساعت : 09:30-11:30",,-,امكان دارد
6,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010365_01,پروژه,3,3,15,1,0,مختلط,اساتيد گروه آموزشي,,,-,امكان دارد
7,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010367_01,طراحي كاشت گياهان زينتي,3,2,35,10,0,مختلط,ناروئي بهروز,"درس(ت): يك شنبه   18:00-20:00 ف مکان: سالن اجتماعات
 درس(ع): دوشنبه    13:00-15:00 مکان: گراقيك و نقشه كشي 01
 درس(ع): سه شنبه   18:00-20:00 مکان: گراقيك و نقشه كشي 01",,-,امكان دارد
8,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010368_01,طراحي فضاهاي شهري,3,2,35,13,0,مختلط,"رخشاني نسب حميدرضا
ناروئي بهروز","درس(ت): شنبه      18:00-20:00 ز مکان: كلاس 201
 درس(ع): سه شنبه   07:30-09:30 مکان: گراقيك و نقشه كشي 01
 درس(ع): سه شنبه   09:30-11:30 مکان: گراقيك و نقشه كشي 01",,-,امكان دارد
9,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010377_01,سيستم هاي آبياري در فضاي سبز,3,1,35,11,0,مختلط,وليزاده محرم,"درس(ت): چهارشنبه  09:30-11:30 مکان: كلاس 202
 درس(ع): يك شنبه   07:30-09:30
  امتحان(1404.10.25)  ساعت : 09:30-11:30",,-,امكان دارد
10,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010381_01,مديريت فضاي هاي سبز,2,0,35,20,0,مختلط,وليزاده محرم,"درس(ت): شنبه      15:00-17:00 مکان: كلاس 203
  امتحان(1404.11.01)  ساعت : 07:30-09:30",,-,امكان دارد
11,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010390_01,نقشه كشي و ترسيم فني در فضاي سبز,2,2,35,4,0,مختلط,آذين فر محمدجواد,"درس(ع): يك شنبه   15:00-17:00
 درس(ع): دوشنبه    07:30-09:30",,-,امكان دارد
12,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010393_01,اصول و روش هاي ازدياد گياهان,3,1,35,12,0,مختلط,اساتيد گروه آموزشي,"درس(ت): يك شنبه   07:30-09:30 مکان: كلاس 202
 درس(ع): دوشنبه    07:30-09:30",,-,امكان دارد
13,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010397_01,مهارت هاي گل كاري 1,1,1,35,9,0,مختلط,وليزاده محرم,"درس(ع): چهارشنبه  07:30-09:30
  امتحان(1404.11.01)  ساعت : 07:30-09:30",,-,امكان دارد
14,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010399_01,طراحي پارك هاي ويژه,2,2,35,13,0,مختلط,ناروئي بهروز,"درس(ع): دوشنبه    07:30-09:30 مکان: گراقيك و نقشه كشي 01
 درس(ع): سه شنبه   13:00-15:00 مکان: گراقيك و نقشه كشي 01
  امتحان(1404.11.08)  ساعت : 07:30-09:30",,-,امكان دارد
15,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010418_01,آناتومي و فيزيولوژي گياهي,3,1,35,3,0,مختلط,اميري اعظم,"درس(ت): يك شنبه   07:30-09:30 مکان: كلاس 101
 درس(ع): دوشنبه    09:30-11:30
  امتحان(1404.10.30)  ساعت : 09:30-11:30",,-,امكان دارد
16,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010424_01,طرح آزمايش هاي كشاورزي(1),3,1,35,13,0,مختلط,وليزاده محرم,"درس(ت): سه شنبه   07:30-09:30 مکان: سالن اجتماعات
 درس(ع): سه شنبه   15:00-17:00
  امتحان(1404.11.04)  ساعت : 09:30-11:30",,-,امكان دارد
17,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010425_01,شناسايي و مديريت علف هاي هرز,3,1,35,11,0,مختلط,اساتيد گروه آموزشي,"درس(ت): دوشنبه    09:30-11:30 مکان: كلاس 202
 درس(ع): چهارشنبه  15:00-17:00
  امتحان(1404.10.30)  ساعت : 07:30-09:30",,-,امكان دارد
18,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010426_01,پارك هاي جنگلي,2,1,35,9,0,مختلط,شهرياري عليرضا,"درس(ت): دوشنبه    18:00-20:00 مکان: كلاس 201
 درس(ع): چهارشنبه  18:00-20:00
  امتحان(1404.10.29)  ساعت : 09:30-11:30",,-,امكان دارد
19,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010429_01,سمينار 1,1,0,35,7,0,مختلط,اميري اعظم,درس(ت): سه شنبه   07:30-09:30 ف مکان: كلاس 202,,-,امكان دارد
20,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010430_01,سمينار2,1,0,35,19,0,مختلط,اميري اعظم,"درس(ت): يك شنبه   13:00-15:00 ف مکان: كلاس 203
  امتحان(1404.11.01)  ساعت : 09:30-11:30",,-,امكان دارد
21,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010431_01,كنترل آفات و بيماريهاي مهم در فضاي سبز,3,1,35,13,0,مختلط,اميري اعظم,"درس(ت): چهارشنبه  07:30-09:30 مکان: سالن اجتماعات
 درس(ع): چهارشنبه  13:00-15:00",,-,امكان دارد
22,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010607_01,برنامه ريزي و طراحي تفرجگاه ها,2,1,15,3,0,مختلط,شهرياري عليرضا,"درس(ت): يك شنبه   18:00-20:00 مکان: كلاس 203
 درس(ع): شنبه      13:00-15:00",,-,امكان دارد
23,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010610_01,مديريت پروژه در احداث منظر,2,1,15,3,0,مختلط,وليزاده محرم,"درس(ت): يك شنبه   13:00-15:00 ز مکان: كلاس 203
 درس(ع): يك شنبه   15:00-17:00
  امتحان(1404.10.28)  ساعت : 07:30-09:30",,-,امكان دارد
24,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010611_01,مباني شهر سازي و طرح هاي شهري,2,0,15,3,0,مختلط,رخشاني نسب حميدرضا,"درس(ت): شنبه      07:30-09:30 مکان: كلاس 202
  امتحان(1404.11.01)  ساعت : 09:30-11:30",,-,امكان دارد
25,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010612_01,سمينار,1,0,25,3,0,مختلط,اساتيد گروه آموزشي,,,-,امكان دارد
26,جغرافيا و برنامه ريزي محيطي,دروس سرويسي,1011200_03,پدافند غير عامل,2,0,40,40,2,مختلط,اساتيد گروه آموزشي,,,-,امكان دارد
27,جغرافيا و برنامه ريزي محيطي,دروس سرويسي,1011200_04,پدافند غير عامل,2,0,40,40,1,مختلط,اساتيد گروه آموزشي,,,-,امكان دارد
28,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي شهري,1012485_01,ديدگاه ها و سياست هاي فضايي در برنامه ريزي شهري,2,0,15,1,0,مختلط,هادياني زهره,"درس(ت): چهارشنبه  09:30-11:30 مکان: كلاس 606
  امتحان(1404.10.25)  ساعت : 07:30-09:30",,-,امكان دارد
29,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي شهري,1012486_01,روش تحقيق در برنامه ريزي شهري,2,1,15,2,0,مختلط,ابراهيم زاده آكباد عيسي,"درس(ت): سه شنبه   13:00-15:00 مکان: كلاس پژوهشكده علوم زمين و جغرافيا(طبقه دوم سلف)
  امتحان(1404.10.28)  ساعت : 07:30-09:30",,-,امكان دارد
30,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي شهري,1012490_01,برنامه ريزي كاربري اراضي شهري,2,0,15,7,0,مختلط,رخشاني نسب حميدرضا,"درس(ت): چهارشنبه  07:30-09:30 مکان: كلاس 201
  امتحان(1404.11.01)  ساعت : 07:30-09:30",,-,امكان دارد
31,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي شهري,1012491_01,نظريه ها و ديدگاه هاي جديد آمايش شهري,2,0,15,8,0,مختلط,شهبازي اميرحمزه,"درس(ت): چهارشنبه  18:00-20:00 مکان: كلاس 203
  امتحان(1404.10.29)  ساعت : 07:30-09:30",,-,امكان دارد
32,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي شهري,1012492_01,برنامه ريزي منطقه اي,2,0,15,0,0,مختلط,رخشاني نسب حميدرضا,"درس(ت): دوشنبه    18:00-20:00 مکان: كلاس 202
  امتحان(1404.11.01)  ساعت : 07:30-09:30",,-,امكان دارد
33,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي شهري,1012494_01,برنامه ريزي مجتمع هاي زيستي و شهرهاي جديد,2,1,15,0,0,مختلط,يغفوري حسين,"درس(ت): سه شنبه   15:00-17:00 مکان: كلاس 101
  امتحان(1404.11.04)  ساعت : 07:30-09:30",,-,امكان دارد
34,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي شهري,1012496_01,كارگاه امايش شهري و منطقه اي,2,1,15,8,0,مختلط,هادياني زهره,"درس(ت): سه شنبه   09:30-11:30 مکان: كلاس 607
  امتحان(1404.10.25)  ساعت : 07:30-09:30",,-,امكان دارد
35,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي شهري,1012614_01,پايان نامه (ارشدشهري),6,0,15,2,0,مختلط,اساتيد گروه آموزشي,,,-,امكان دارد
36,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي شهري,1012820_01,امتحان ارزيابي جامع,0,0,5,0,0,مختلط,اساتيد گروه آموزشي,,,-,امكان دارد
37,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي شهري,1012825_01,ادامه پايان نامه دكتري,0,0,10,0,0,مختلط,اساتيد گروه آموزشي,,,-,امكان دارد
38,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي شهري,1012917_01,رساله دكتري برنامه ريزي شهري,20,20,15,1,0,مختلط,اساتيد گروه آموزشي,,,-,امكان دارد
39,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي شهري,1012972_01,روش شناسي تحقيق و آينده پژوهي در برنامه ريزي شهري,2,0,5,2,0,مختلط,ابراهيم زاده آكباد عيسي,"درس(ت): چهارشنبه  18:00-20:00 مکان: كلاس پژوهشكده علوم زمين و جغرافيا(طبقه دوم سلف)
  امتحان(1404.10.25)  ساعت : 07:30-09:30",,-,امكان دارد
40,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي شهري,1012973_01,اسيب شناسي توسعه شهري در ايران,2,0,15,2,0,مختلط,يغفوري حسين,"درس(ت): چهارشنبه  15:00-17:00 مکان: كلاس 204
  امتحان(1404.11.01)  ساعت : 07:30-09:30",,-,امكان دارد
41,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي شهري,1012977_01,برنامه ريزي توسعه محله اي و اجتماع محور,2,0,5,3,0,مختلط,ابراهيم زاده آكباد عيسي,"درس(ت): چهارشنبه  13:00-15:00 مکان: كلاس پژوهشكده علوم زمين و جغرافيا(طبقه دوم سلف)
  امتحان(1404.10.25)  ساعت : 07:30-09:30",,-,امكان دارد
42,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي شهري,1012980_01,برنامه ريزي راهبردي -عملياتي شهرها,2,0,5,3,0,مختلط,يغفوري حسين,"درس(ت): سه شنبه   18:00-20:00 مکان: كلاس 201
  امتحان(1404.11.01)  ساعت : 07:30-09:30",,-,امكان دارد
43,جغرافيا و برنامه ريزي محيطي,جغرافيا طبيعي- اقليم شناسي,1014624_01,پايان نامه ارشداقليم,6,0,15,8,0,مختلط,اساتيد گروه آموزشي,,,-,امكان دارد
44,جغرافيا و برنامه ريزي محيطي,جغرافيا طبيعي- اقليم شناسي,1014629_01,ادامه رساله,0,0,5,0,0,مختلط,اساتيد گروه آموزشي,,,-,امكان ندارد
45,جغرافيا و برنامه ريزي محيطي,جغرافيا طبيعي- اقليم شناسي,1014630_01,درانتظاردفاع ازپيشنهادرساله,0,0,5,0,0,مختلط,اساتيد گروه آموزشي,,,-,امكان دارد
46,جغرافيا و برنامه ريزي محيطي,جغرافيا طبيعي- اقليم شناسي,1014800_01,نظريه هاو روشهاي  تحقيق در آب و هواشناسي,2,0,20,0,0,مختلط,طاوسي تقي,"درس(ت): چهارشنبه  18:00-20:00 مکان: كلاس 101
  امتحان(1404.11.04)  ساعت : 07:30-09:30",,-,امكان دارد
47,جغرافيا و برنامه ريزي محيطي,جغرافيا طبيعي- اقليم شناسي,1014802_01,روشهاي پيشرفته آماري در آب و هواشناسي,2,1,20,0,0,مختلط,خسروي محمود,"درس(ت): چهارشنبه  07:30-09:30 مکان: كلاس 202
  امتحان(1404.10.30)  ساعت : 09:30-11:30",,-,امكان دارد
48,جغرافيا و برنامه ريزي محيطي,جغرافيا طبيعي- اقليم شناسي,1014803_01,روشهاي آب و هواشناسي ماهواره اي,2,1,20,0,0,مختلط,حميديان پور محسن,"درس(ت): چهارشنبه  15:00-17:00 مکان: كلاس 201
  امتحان(1404.10.25)  ساعت : 07:30-09:30",,-,امكان دارد
49,جغرافيا و برنامه ريزي محيطي,جغرافيا طبيعي- اقليم شناسي,1014805_01,هيدرواقليم حوضه هاي آبريز در ايران,2,0,20,0,0,مختلط,محمودي پيمان,"درس(ت): سه شنبه   15:00-17:00 مکان: كلاس 204
  امتحان(1404.11.07)  ساعت : 07:30-09:30",,-,امكان دارد
50,جغرافيا و برنامه ريزي محيطي,جغرافيا طبيعي- اقليم شناسي,1014807_01,آب و هواشناسي لايه مرزي,2,0,10,0,0,مختلط,نظري پور حميد,"درس(ت): چهارشنبه  07:30-09:30 مکان: كلاس 203
  امتحان(1404.11.06)  ساعت : 07:30-09:30",,-,امكان دارد
51,جغرافيا و برنامه ريزي محيطي,جغرافيا طبيعي- اقليم شناسي,1014808_01,آب و هواشناسي سلامت,2,0,10,2,0,مختلط,خسروي محمود,"درس(ت): چهارشنبه  15:00-17:00 مکان: كلاس 203
  امتحان(1404.11.04)  ساعت : 09:30-11:30",,-,امكان دارد
52,جغرافيا و برنامه ريزي محيطي,جغرافيا طبيعي- اقليم شناسي,1014810_01,آب و هواشناسي و مديريت انرژي,2,0,10,2,0,مختلط,طاوسي تقي,"درس(ت): سه شنبه   07:30-09:30 مکان: كلاس 101
  امتحان(1404.11.01)  ساعت : 07:30-09:30",,-,امكان دارد
53,جغرافيا و برنامه ريزي محيطي,جغرافيا طبيعي- اقليم شناسي,1014811_01,آب و هوا و طراحي محيط,2,0,10,2,0,مختلط,نظري پور حميد,"درس(ت): سه شنبه   18:00-20:00 مکان: كلاس 202
  امتحان(1404.10.29)  ساعت : 07:30-09:30",,-,امكان دارد
54,جغرافيا و برنامه ريزي محيطي,جغرافيا طبيعي- اقليم شناسي,1014962_01,رابطه آب وهوايي اتمسفر و اقيانوس,2,0,10,2,0,مختلط,خسروي محمود,"درس(ت): پنج شنبه  09:30-11:30 مکان: كلاس 101
  امتحان(1404.10.28)  ساعت : 07:30-09:30",,-,امكان دارد
55,جغرافيا و برنامه ريزي محيطي,جغرافيا طبيعي- اقليم شناسي,1014963_01,مراكز منطقه اي كنترل آب و هواي ايران,2,0,10,2,0,مختلط,طاوسي تقي,"درس(ت): پنج شنبه  07:30-09:30 مکان: كلاس 101
  امتحان(1404.11.04)  ساعت : 07:30-09:30",,-,امكان دارد
56,جغرافيا و برنامه ريزي محيطي,جغرافيا طبيعي- اقليم شناسي,1014965_01,تحليل سينوپتيكي مخاطرات محيطي,2,0,10,2,0,مختلط,حميديان پور محسن,"درس(ت): چهارشنبه  07:30-09:30 مکان: كلاس 101
  امتحان(1404.11.07)  ساعت : 07:30-09:30",,-,امكان دارد
57,جغرافيا و برنامه ريزي محيطي,جغرافيا طبيعي- اقليم شناسي,1014968_01,آب و هوا شناسي ماهواره اي پيشرفته,2,0,10,2,0,مختلط,محمودي پيمان,"درس(ت): چهارشنبه  15:00-17:00 مکان: كلاس 202
  امتحان(1404.11.01)  ساعت : 07:30-09:30",,-,امكان دارد
58,جغرافيا و برنامه ريزي محيطي,جغرافيا طبيعي- اقليم شناسي,1014970_01,رساله دكتراي اقليم,20,0,10,3,0,مختلط,اساتيد گروه آموزشي,,,-,امكان دارد
59,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي روستايي,1016530_02,تبيين نظريه هاي جغرافيايي برنامه ريزي روستايي,2,0,5,2,0,مختلط,پايدار ابوذر,"درس(ت): پنج شنبه  09:30-11:30 مکان: كلاس 201
  امتحان(1404.10.25)  ساعت : 07:30-09:30",,-,امكان دارد
60,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي روستايي,1016531_02,بنيانهاي فلسفي روش شناسي پژوهش,2,1,5,2,0,مختلط,طيب نيا سيدهادي,"درس(ت): چهارشنبه  09:30-11:30 مکان: كلاس 201
  امتحان(1404.11.01)  ساعت : 07:30-09:30",,-,امكان دارد
61,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي روستايي,1016532_02,مدل هاو فنون برنامه ريزي فضايي,2,1,5,2,0,مختلط,پايدار ابوذر,"درس(ت): چهارشنبه  15:00-17:00 مکان: كلاس پژوهشكده علوم زمين و جغرافيا(طبقه دوم سلف)
  امتحان(1404.11.05)  ساعت : 07:30-09:30",,-,امكان دارد
62,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي روستايي,1016533_02,توسعه پايداري اجتماعات محلي,2,0,5,2,0,مختلط,قنبري سيروس,"درس(ت): پنج شنبه  07:30-09:30 مکان: كلاس 201
  امتحان(1404.10.28)  ساعت : 07:30-09:30",,-,امكان دارد
63,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي روستايي,1016540_02,ديدگاه ها و نظريه هاي برنامه ريزي و توسعه روستايي,2,0,15,0,0,مختلط,طيب نيا سيدهادي,"درس(ت): چهارشنبه  18:00-20:00 مکان: كلاس 204
  امتحان(1404.11.01)  ساعت : 07:30-09:30",,-,امكان دارد
64,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي روستايي,1016541_02,روش هاي تحقيق پيشرفته در برنامه ريزي روستايي,2,0,15,0,0,مختلط,پايدار ابوذر,"درس(ت): چهارشنبه  09:30-11:30 مکان: كلاس 101
  امتحان(1404.10.25)  ساعت : 07:30-09:30",,-,امكان دارد
65,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي روستايي,1016543_02,ارزيابي توان اكولوژيكي در برنامه ريزي روستايي,2,0,15,3,0,مختلط,پايدار ابوذر,"درس(ت): چهارشنبه  13:00-15:00 مکان: كلاس 101
  امتحان(1404.10.28)  ساعت : 07:30-09:30",,-,امكان دارد
66,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي روستايي,1016544_02,مدل هاي وفنون برنامه ريزي روستايي,2,1,15,3,0,مختلط,پايدار ابوذر,"درس(ت): سه شنبه   18:00-20:00 مکان: كلاس 607
  امتحان(1404.11.06)  ساعت : 07:30-09:30",,-,امكان دارد
67,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي روستايي,1016545_02,سنجش از دور سيستم اطلاعات جغرافيايي پيشرفته در برنامه ريزي روستايي,2,1,15,1,0,مختلط,طيب نيا سيدهادي,"درس(ت): سه شنبه   15:00-17:00 مکان: كلاس 201
  امتحان(1404.11.06)  ساعت : 07:30-09:30",,-,امكان دارد
68,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي روستايي,1016546_02,برنامه ريزي  مسكن روستايي,2,0,15,3,0,مختلط,قنبري سيروس,"درس(ت): چهارشنبه  18:00-20:00 مکان: سالن اجتماعات
  امتحان(1404.10.25)  ساعت : 07:30-09:30",,-,امكان دارد
69,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي روستايي,1016547_02,ارزيابي طرح هاي توسعه كالبدي روستايي,2,1,15,0,0,مختلط,قنبري سيروس,"درس(ت): سه شنبه   18:00-20:00 مکان: سالن اجتماعات
  امتحان(1404.10.28)  ساعت : 07:30-09:30",,-,امكان دارد
70,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي روستايي,1016552_02,كارگاه برنامه ريزي كالبدي -فضايي سكونتگاه هاي روستايي,2,1,15,3,0,مختلط,طيب نيا سيدهادي,"درس(ت): يك شنبه   18:00-20:00 مکان: كلاس 202
  امتحان(1404.11.01)  ساعت : 07:30-09:30",,-,امكان دارد
71,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي روستايي,1016614_02,پايان نامه(ارشدروستايي),6,0,20,4,0,مختلط,اساتيد گروه آموزشي,,,-,امكان دارد
72,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي روستايي,1016720_02,آزمون جامع,0,0,10,1,0,مختلط,اساتيد گروه آموزشي,,,-,امكان دارد
73,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي روستايي,1016721_02,ادامه پايان نامه دكتري روستايي,0,0,10,0,0,مختلط,اساتيد گروه آموزشي,,,-,امكان دارد
74,جغرافيا و برنامه ريزي محيطي,جغرافيا انساني- برنامه ريزي روستايي,1016921_02,رساله دكتري جغرافياي برنامه ريزي روستاي,20,20,15,1,0,مختلط,اساتيد گروه آموزشي,,,-,امكان دارد
75,جغرافيا و برنامه ريزي محيطي,ژئومورفولوژي,1022001_01,سنجش از دور  و جي اي اس عملي در ژئوموفولوژي,2,2,20,0,0,مختلط,فتوحي صمد,"درس(ع): دوشنبه    07:30-09:30 مکان: آزمايشگاه ژئومورفولوژي
  امتحان(1404.11.04)  ساعت : 07:30-09:30",,-,امكان دارد
76,جغرافيا و برنامه ريزي محيطي,ژئومورفولوژي,1022614_01,پايان نامه مخاطرات,6,6,15,0,0,مختلط,اساتيد گروه آموزشي,,,-,امكان ندارد
77,جغرافيا و برنامه ريزي محيطي,ژئومورفولوژي,1022664_01,پايان نامه( ارشدژئو),6,6,10,0,0,مختلط,اساتيد گروه آموزشي,,,-,امكان دارد
78,جغرافيا و برنامه ريزي محيطي,ژئومورفولوژي,1022701_01,سياست گذاري در امايش و مهندسي محيط,2,0,20,0,0,مختلط,منصوري رضا,"درس(ت): سه شنبه   18:00-20:00 مکان: آزمايشگاه ژئومورفولوژي
  امتحان(1404.11.07)  ساعت : 09:30-11:30",,-,امكان دارد
79,جغرافيا و برنامه ريزي محيطي,ژئومورفولوژي,1022702_01,ژئومورفولوژي و نهشته هاي سطح زمين,2,1,20,0,0,مختلط,دوچشمه گرگيچ عليرضا,"درس(ت): سه شنبه   07:30-09:30 مکان: آزمايشگاه ژئومورفولوژي
  امتحان(1404.10.30)  ساعت : 07:30-09:30",,-,امكان دارد
80,جغرافيا و برنامه ريزي محيطي,ژئومورفولوژي,1022721_01,مديريت و بازسازي ژئومورفيك اكولوژيك رودخانه ها,2,1,10,0,0,مختلط,دوچشمه گرگيچ عليرضا,"درس(ت): چهارشنبه  18:00-20:00 مکان: آزمايشگاه جغرافيا جي اي اس
  امتحان(1404.10.25)  ساعت : 09:30-11:30",,-,امكان دارد
81,جغرافيا و برنامه ريزي محيطي,ژئومورفولوژي,1022722_01,ژئودايورسيتي در مديريت ژئوتوريسم,2,0,20,0,0,مختلط,منصوري رضا,"درس(ت): سه شنبه   15:00-17:00 مکان: آزمايشگاه ژئومورفولوژي
  امتحان(1404.11.04)  ساعت : 09:30-11:30",,-,امكان دارد
82,جغرافيا و برنامه ريزي محيطي,ژئومورفولوژي,1022723_01,آمايش مناطق ساحلي,2,0,20,1,0,مختلط,فتوحي صمد,"درس(ت): سه شنبه   09:30-11:30 مکان: آزمايشگاه ژئومورفولوژي
  امتحان(1404.11.01)  ساعت : 07:30-09:30",,-,امكان دارد
83,جغرافيا و برنامه ريزي محيطي,ژئومورفولوژي,1022724_01,ژئومورفولوژي و آمايش فضاهاي سكونتگاهي,2,0,20,1,0,مختلط,فتوحي صمد,"درس(ت): چهارشنبه  18:00-20:00 مکان: آزمايشگاه ژئومورفولوژي
  امتحان(1404.11.07)  ساعت : 07:30-09:30",,-,امكان دارد
84,جغرافيا و برنامه ريزي محيطي,ژئومورفولوژي,1022725_01,ژئومورفولوژي و ميراث فرهنگي و زميني (ژئومورفولوژي و ميراث زميني),2,0,20,1,0,مختلط,منصوري رضا,"درس(ت): چهارشنبه  15:00-17:00 مکان: آزمايشگاه ژئومورفولوژي
  امتحان(1404.10.28)  ساعت : 09:30-11:30",,-,امكان دارد
85,جغرافيا و برنامه ريزي محيطي,ژئومورفولوژي,1022922_01,امتحان جامع,0,0,10,0,0,مختلط,اساتيد گروه آموزشي,,,-,امكان دارد
86,جغرافيا و برنامه ريزي محيطي,ژئومورفولوژي,1022927_01,ادامه رساله,0,0,10,0,0,مختلط,اساتيد گروه آموزشي,,,-,امكان دارد
87,جغرافيا و برنامه ريزي محيطي,جغرافيا و برنامه ريزي گردشگري,1024850_01,نظريه هاي برنامه ريزي گردشگري,2,0,15,0,0,مختلط,شهبازي اميرحمزه,"درس(ت): سه شنبه   15:00-17:00 مکان: سالن اجتماعات
  امتحان(1404.10.28)  ساعت : 07:30-09:30",,-,امكان دارد
