شماره و گروه درس,نام درس,ظر فيت,جنسيت,نام استاد,ساعات ارائه و امتحان,محل,دروس پيش نياز، همنياز، متضاد و معادل,توضيحات,واحد_کل,واحد_ع,_unit_a_col_used,is_fake,fake_reason
3022022_09,اخلاق اسلامي (مباني و مفاهيم),35,زن,براهويي جهانشاهي مريم,"درس(ت): سه شنبه 18:00-20:00
امتحان(1404.10.25) ساعت : 07:30-09:30",دانشكده مديريت و اقتصاد _ تالار معراج,"معادل: 3022023 آيين زندگي (اخلاق كاربردي)
معادل: 3022021 فلسفه اخلاق (مباحث تربيتي)
معادل: 3022010 عرفان ومعنويت درصحيفه سجاديه(اخلاق اسلامي)
معادل: 3022024 عرفان عملي اسلام
معادل: 1218002 اخلاق اسلامي 1
معادل: 1218006 اخلاق و تربيت اسلامي 1
معادل: 1218005 اخلاق و تربيت اسلامي 1
معادل: 4816114 آيين زندگي
معادل: 3022011 اخلاق اجتماعي(اخلاق اسلامي)
معادل: 3022008 اخلاق غريزه(اخلاق اسلامي)
معادل: 3022009 اخلاق شناخت وانديشه ورزي(اخلاق اسلامي)
معادل: 3010085 تعليم و تربيت اسلامي",,2,0,واحد_ع,False,
3022022_10,اخلاق اسلامي (مباني و مفاهيم),35,مرد,جباري حسينعلي,"درس(ت): يك شنبه 15:00-17:00
امتحان(1404.10.25) ساعت : 07:30-09:30",ساختمان كلاسهاي دانشكده مهندسي _ كلاس 206,"معادل: 3022023 آيين زندگي (اخلاق كاربردي)
معادل: 3022021 فلسفه اخلاق (مباحث تربيتي)
معادل: 3022010 عرفان ومعنويت درصحيفه سجاديه(اخلاق اسلامي)
معادل: 3022024 عرفان عملي اسلام
معادل: 1218002 اخلاق اسلامي 1
معادل: 1218006 اخلاق و تربيت اسلامي 1
معادل: 1218005 اخلاق و تربيت اسلامي 1
معادل: 4816114 آيين زندگي
معادل: 3022011 اخلاق اجتماعي(اخلاق اسلامي)
معادل: 3022008 اخلاق غريزه(اخلاق اسلامي)
معادل: 3022009 اخلاق شناخت وانديشه ورزي(اخلاق اسلامي)
معادل: 3010085 تعليم و تربيت اسلامي",,2,0,واحد_ع,False,
3022042_01,تاريخ تحليلي صدر اسلام,35,زن,مهدوي مقام وجيهه,"درس(ت): دوشنبه 15:00-17:00
امتحان(1404.11.02) ساعت : 07:30-09:30",ساختمان كلاسهاي دانشكده مهندسي _ كلاس 208,"معادل: 3022020 تاريخ وسيره سياسي اهل بيت (ع) - مركز مبنا (تاريخ تحليلي صدر اسلام)
معادل: 3022041 تاريخ فرهنگ و تمدن اسلامي
معادل: 3022043 تاريخ امامت",,2,0,واحد_ع,False,
3022042_02,تاريخ تحليلي صدر اسلام,35,مرد,محمودي صاحبي مصطفي,"درس(ت): يك شنبه 07:30-09:30
امتحان(1404.11.02) ساعت : 07:30-09:30",ساختمان كلاسهاي دانشكده مهندسي _ كلاس 209,"معادل: 3022020 تاريخ وسيره سياسي اهل بيت (ع) - مركز مبنا (تاريخ تحليلي صدر اسلام)
معادل: 3022041 تاريخ فرهنگ و تمدن اسلامي
معادل: 3022043 تاريخ امامت",,2,0,واحد_ع,False,
3022042_03,تاريخ تحليلي صدر اسلام,35,زن,مهدوي مقام وجيهه,"درس(ت): دوشنبه 18:00-20:00
امتحان(1404.11.02) ساعت : 07:30-09:30",ساختمان كلاسهاي دانشكده مهندسي _ كلاس 208,"معادل: 3022020 تاريخ وسيره سياسي اهل بيت (ع) - مركز مبنا (تاريخ تحليلي صدر اسلام)
معادل: 3022041 تاريخ فرهنگ و تمدن اسلامي
معادل: 3022043 تاريخ امامت",,2,0,واحد_ع,False,
3022042_04,تاريخ تحليلي صدر اسلام,35,مرد,محمودي صاحبي مصطفي,"درس(ت): يك شنبه 09:30-11:30
امتحان(1404.11.02) ساعت : 07:30-09:30",ساختمان كلاسهاي دانشكده مهندسي _ كلاس 209,"معادل: 3022020 تاريخ وسيره سياسي اهل بيت (ع) - مركز مبنا (تاريخ تحليلي صدر اسلام)
معادل: 3022041 تاريخ فرهنگ و تمدن اسلامي
معادل: 3022043 تاريخ امامت",,2,0,واحد_ع,False,
3022042_05,تاريخ تحليلي صدر اسلام,35,زن,شهرياري شهرزاد,"درس(ت): چهارشنبه 15:00-17:00
امتحان(1404.11.02) ساعت : 07:30-09:30",ساختمان كلاسهاي دانشكده مهندسي _ كلاس 202,"معادل: 3022020 تاريخ وسيره سياسي اهل بيت (ع) - مركز مبنا (تاريخ تحليلي صدر اسلام)
معادل: 3022041 تاريخ فرهنگ و تمدن اسلامي
معادل: 3022043 تاريخ امامت",,2,0,واحد_ع,False,
3022042_06,تاريخ تحليلي صدر اسلام,35,مرد,امام دادي محمدتقي,"درس(ت): سه شنبه 13:00-15:00
امتحان(1404.11.02) ساعت : 07:30-09:30",ساختمان كلاسهاي دانشكده مهندسي _ كلاس 209,"معادل: 3022020 تاريخ وسيره سياسي اهل بيت (ع) - مركز مبنا (تاريخ تحليلي صدر اسلام)
معادل: 3022041 تاريخ فرهنگ و تمدن اسلامي
معادل: 3022043 تاريخ امامت",,2,0,واحد_ع,False,
3022042_07,تاريخ تحليلي صدر اسلام,35,زن,شهرياري شهرزاد,"درس(ت): چهارشنبه 18:00-20:00
امتحان(1404.11.02) ساعت : 07:30-09:30",ساختمان كلاسهاي دانشكده مهندسي _ كلاس 202,"معادل: 3022020 تاريخ وسيره سياسي اهل بيت (ع) - مركز مبنا (تاريخ تحليلي صدر اسلام)
معادل: 3022041 تاريخ فرهنگ و تمدن اسلامي
معادل: 3022043 تاريخ امامت",,2,0,واحد_ع,False,
3022042_08,تاريخ تحليلي صدر اسلام,35,مرد,امام دادي محمدتقي,"درس(ت): سه شنبه 15:00-17:00
امتحان(1404.11.02) ساعت : 07:30-09:30",ساختمان كلاسهاي دانشكده مهندسي _ كلاس 209,"معادل: 3022020 تاريخ وسيره سياسي اهل بيت (ع) - مركز مبنا (تاريخ تحليلي صدر اسلام)
معادل: 3022041 تاريخ فرهنگ و تمدن اسلامي
معادل: 3022043 تاريخ امامت",,2,0,واحد_ع,False,
3022042_09,تاريخ تحليلي صدر اسلام,35,زن,محمودي صاحبي مصطفي,"درس(ت): سه شنبه 07:30-09:30
امتحان(1404.11.02) ساعت : 07:30-09:30",ساختمان كلاسهاي دانشكده مهندسي _ كلاس 209,"معادل: 3022020 تاريخ وسيره سياسي اهل بيت (ع) - مركز مبنا (تاريخ تحليلي صدر اسلام)
معادل: 3022041 تاريخ فرهنگ و تمدن اسلامي
معادل: 3022043 تاريخ امامت",,2,0,واحد_ع,False,
3022042_11,تاريخ تحليلي صدر اسلام,35,زن,محمودي صاحبي مصطفي,"درس(ت): چهارشنبه 07:30-09:30
امتحان(1404.11.02) ساعت : 07:30-08:30",ساختمان كلاسهاي دانشكده مهندسي _ كلاس 202,"معادل: 3022020 تاريخ وسيره سياسي اهل بيت (ع) - مركز مبنا (تاريخ تحليلي صدر اسلام)
معادل: 3022041 تاريخ فرهنگ و تمدن اسلامي
معادل: 3022043 تاريخ امامت",,2,0,واحد_ع,False,
2226101_01,فيزيك2,30,مختلط,دارائي احمدرضا,"درس(ت): يك شنبه 07:30-09:30
حل تمرين(ت): سه شنبه 13:00-15:00
امتحان(1404.11.08) ساعت : 09:30-11:30",دانشكده علوم پايه (جديد) _ كلاس 56,"معادل: 2212109 فيزيك 2
معادل: 2212109 فيزيك 2",دانشكده رياضي,3,0,واحد_ع,False,
1818084_01,تربيت بدني ويژه,15,مختلط,رضائي پور محمدرضا,درس(ع): دوشنبه 07:30-09:30,دانشكده ادبيات و علوم انساني _ كلاس 105,معادل: 1818080 تربيت بدني,,1,1,واحد_ع,False,
3022016_01,انديشه اسلامي 2,35,زن,نجفي سواد رودباري رضوانه,"درس(ت): دوشنبه 07:30-09:30
امتحان(1404.10.25) ساعت : 08:30-09:30",دانشكده مديريت و اقتصاد _ 923,"پيش نياز: 3022015 انديشه اسلامي 1
معادل: 4816015 انديشه اسلامي 2
معادل: 3022002 نبوت وولايت درقرآن(انديشه اسلامي 2)
معادل: 3022004 فلسفه حق وارزش (انديشه اسلامي 2)
معادل: 3022018 حقوق اجتماعي و سياسي در اسلام",,2,0,واحد_ع,False,
3022016_02,انديشه اسلامي 2,35,مرد,باراني ابوالحسن,"درس(ت): دوشنبه 15:00-17:00
امتحان(1404.10.25) ساعت : 08:30-09:30",دانشكده مديريت و اقتصاد _ 923,"پيش نياز: 3022015 انديشه اسلامي 1
معادل: 4816015 انديشه اسلامي 2
معادل: 3022002 نبوت وولايت درقرآن(انديشه اسلامي 2)
معادل: 3022004 فلسفه حق وارزش (انديشه اسلامي 2)
معادل: 3022018 حقوق اجتماعي و سياسي در اسلام",,2,0,واحد_ع,False,
3022016_03,انديشه اسلامي 2,35,زن,نجفي سواد رودباري رضوانه,"درس(ت): دوشنبه 13:00-15:00
امتحان(1404.10.25) ساعت : 08:30-09:30",دانشكده مديريت و اقتصاد _ 923,"پيش نياز: 3022015 انديشه اسلامي 1
معادل: 4816015 انديشه اسلامي 2
معادل: 3022002 نبوت وولايت درقرآن(انديشه اسلامي 2)
معادل: 3022004 فلسفه حق وارزش (انديشه اسلامي 2)
معادل: 3022018 حقوق اجتماعي و سياسي در اسلام",,2,0,واحد_ع,False,
3022016_04,انديشه اسلامي 2,35,مرد,باراني ابوالحسن,"درس(ت): دوشنبه 18:00-20:00
امتحان(1404.10.25) ساعت : 08:30-09:30",دانشكده مديريت و اقتصاد _ 923,"پيش نياز: 3022015 انديشه اسلامي 1
معادل: 4816015 انديشه اسلامي 2
معادل: 3022002 نبوت وولايت درقرآن(انديشه اسلامي 2)
معادل: 3022004 فلسفه حق وارزش (انديشه اسلامي 2)
معادل: 3022018 حقوق اجتماعي و سياسي در اسلام",,2,0,واحد_ع,False,
3022016_05,انديشه اسلامي 2,35,زن,نجفي سواد رودباري رضوانه,"درس(ت): سه شنبه 07:30-09:30
امتحان(1404.10.25) ساعت : 08:30-09:30",دانشكده مديريت و اقتصاد _ 923,"پيش نياز: 3022015 انديشه اسلامي 1
معادل: 4816015 انديشه اسلامي 2
معادل: 3022002 نبوت وولايت درقرآن(انديشه اسلامي 2)
معادل: 3022004 فلسفه حق وارزش (انديشه اسلامي 2)
معادل: 3022018 حقوق اجتماعي و سياسي در اسلام",,2,0,واحد_ع,False,
3022016_06,انديشه اسلامي 2,35,مرد,باراني ابوالحسن,"درس(ت): سه شنبه 15:00-17:00
امتحان(1404.10.25) ساعت : 08:30-09:30",دانشكده مديريت و اقتصاد _ 923,"پيش نياز: 3022015 انديشه اسلامي 1
معادل: 4816015 انديشه اسلامي 2
معادل: 3022002 نبوت وولايت درقرآن(انديشه اسلامي 2)
معادل: 3022004 فلسفه حق وارزش (انديشه اسلامي 2)
معادل: 3022018 حقوق اجتماعي و سياسي در اسلام",,2,0,واحد_ع,False,
3022016_07,انديشه اسلامي 2,35,زن,اكبري قدسيه,"درس(ت): يك شنبه 15:00-17:00
امتحان(1404.10.25) ساعت : 08:30-09:30",ساختمان كلاسهاي دانشكده مهندسي _ كلاس 202,"پيش نياز: 3022015 انديشه اسلامي 1
معادل: 4816015 انديشه اسلامي 2
معادل: 3022002 نبوت وولايت درقرآن(انديشه اسلامي 2)
معادل: 3022004 فلسفه حق وارزش (انديشه اسلامي 2)
معادل: 3022018 حقوق اجتماعي و سياسي در اسلام",,2,0,واحد_ع,False,
3022016_08,انديشه اسلامي 2,35,مرد,باراني ابوالحسن,"درس(ت): سه شنبه 18:00-20:00
امتحان(1404.10.25) ساعت : 08:30-09:30",دانشكده مديريت و اقتصاد _ 923,"پيش نياز: 3022015 انديشه اسلامي 1
معادل: 4816015 انديشه اسلامي 2
معادل: 3022002 نبوت وولايت درقرآن(انديشه اسلامي 2)
معادل: 3022004 فلسفه حق وارزش (انديشه اسلامي 2)
معادل: 3022018 حقوق اجتماعي و سياسي در اسلام",,2,0,واحد_ع,False,
3022016_09,انديشه اسلامي 2,35,زن,اكبري قدسيه,"درس(ت): دوشنبه 07:30-09:30
امتحان(1404.10.25) ساعت : 08:30-09:30",ساختمان كلاسهاي دانشكده مهندسي _ كلاس 206,"پيش نياز: 3022015 انديشه اسلامي 1
معادل: 4816015 انديشه اسلامي 2
معادل: 3022002 نبوت وولايت درقرآن(انديشه اسلامي 2)
معادل: 3022004 فلسفه حق وارزش (انديشه اسلامي 2)
معادل: 3022018 حقوق اجتماعي و سياسي در اسلام",,2,0,واحد_ع,False,
3022016_10,انديشه اسلامي 2,35,مرد,باراني ابوالحسن,"درس(ت): شنبه 18:00-20:00
امتحان(1404.10.25) ساعت : 08:30-09:30",دانشكده مديريت و اقتصاد _ 923,"پيش نياز: 3022015 انديشه اسلامي 1
معادل: 4816015 انديشه اسلامي 2
معادل: 3022002 نبوت وولايت درقرآن(انديشه اسلامي 2)
معادل: 3022004 فلسفه حق وارزش (انديشه اسلامي 2)
معادل: 3022018 حقوق اجتماعي و سياسي در اسلام",,2,0,واحد_ع,False,
3022016_11,انديشه اسلامي 2,35,زن,اكبري قدسيه,"درس(ت): دوشنبه 15:00-17:00
امتحان(1404.10.25) ساعت : 08:30-09:30",ساختمان كلاسهاي دانشكده مهندسي _ كلاس 209,"پيش نياز: 3022015 انديشه اسلامي 1
معادل: 4816015 انديشه اسلامي 2
معادل: 3022002 نبوت وولايت درقرآن(انديشه اسلامي 2)
معادل: 3022004 فلسفه حق وارزش (انديشه اسلامي 2)
معادل: 3022018 حقوق اجتماعي و سياسي در اسلام",,2,0,واحد_ع,False,
3022016_13,انديشه اسلامي 2,35,زن,اساتيد گروه آموزشي,"درس(ت): شنبه 09:30-11:30
امتحان(1404.10.25) ساعت : 07:30-08:30",دانشكده مديريت و اقتصاد _ 923,"پيش نياز: 3022015 انديشه اسلامي 1
معادل: 4816015 انديشه اسلامي 2
معادل: 3022002 نبوت وولايت درقرآن(انديشه اسلامي 2)
معادل: 3022004 فلسفه حق وارزش (انديشه اسلامي 2)
معادل: 3022018 حقوق اجتماعي و سياسي در اسلام",,2,0,واحد_ع,False,
2814045_01,نرم افزارهاي رياضي,25,مختلط,كيخا وحيده,"درس(ت): شنبه 15:00-17:00
درس(ت): دوشنبه 15:00-17:00
امتحان(1404.11.07) ساعت : 09:30-11:30","دانشكده علوم پايه _ سايت كامپيوتر دانشكده رياضي
دانشكده علوم پايه _ كلآس 36","پيش نياز: 2814426 محاسبات علمي
معادل: 2810071 نرم افزارهاي رياضي",,3,0,واحد_ع,False,
2814302_01,زبانهاي برنامه سازي,20,مختلط,كيخا وحيده,"درس(ت): يك شنبه 18:00-20:00
درس(ت): سه شنبه 15:00-17:00
امتحان(1404.10.28) ساعت : 09:30-11:30",دانشكده علوم پايه _ سايت كامپيوتر دانشكده رياضي,پيش نياز: 2814421 ساختمان داده ها و الگوريتم,,3,0,واحد_ع,False,
2814413_01,مهندسي اينترنت,20,مختلط,كاظمي احمد,"درس(ت): يك شنبه 15:00-17:00
درس(ت): سه شنبه 18:00-20:00
امتحان(1404.10.30) ساعت : 09:30-11:30",,"پيش نياز: 2814420 شبكه هاي كامپيوتري
معادل: 2014424 مهندسي اينترنت",,3,0,واحد_ع,False,
2814007_01,كامپايلر,20,مختلط,كرد تمنداني يحيي,"درس(ت): دوشنبه 07:30-09:30
درس(ت): سه شنبه 07:30-09:30
امتحان(1404.11.08) ساعت : 09:30-11:30","دانشكده علوم پايه _ كلآس 36
دانشكده علوم پايه _ كلآس 37",پيش نياز: 2814014 مباني نظريه محاسبه,,3,0,واحد_ع,False,
2810120_02,معادلات ديفرانسيل,30,مختلط,باخرد مجتبي,"درس(ت): يك شنبه 07:30-09:30
درس(ت): سه شنبه 07:30-09:30
امتحان(1404.11.07) ساعت : 07:30-09:30",,"پيش نياز: 2810117 رياضي عمومي 2
معادل: 2816120 معادلات ديفرانسيل
معادل: 4815113 معادلات ديفرانسيل
معادل: 2412235 معادلات ديفرانسيل
معادل: 2418048 معادلات ديفرانسيل",,3,0,واحد_ع,False,
1818085_01,ورزش ويژه,15,مختلط,رضائي پور محمدرضا,درس(ع): دوشنبه 09:30-11:30,دانشكده ادبيات و علوم انساني _ كلاس 105,"پيش نياز: 1818084 تربيت بدني ويژه
پيش نياز: 1818080 تربيت بدني
معادل: 1818083 ورزش1
معادل: 1816085 ورزش ويژه
معادل: 1816083 ورزش1",,1,1,واحد_ع,False,
1818083_01,ورزش1,15,مرد,دلاور رضا,درس(ع): شنبه 07:30-09:30,سالن ورزشي 22 بهمن _ بسكتبال,"پيش نياز: 1818080 تربيت بدني
پيش نياز: 1818084 تربيت بدني ويژه
پيش نياز: 1816010 تربيت بدني
پيش نياز: 1816084 تربيت بدني ويژه
معادل: 1816083 ورزش1
معادل: 1818085 ورزش ويژه",بسكتبال,1,1,واحد_ع,False,
1818083_02,ورزش1,15,مرد,غفراني محسن,درس(ع): يك شنبه 07:30-09:30,سالن ورزشي 22 بهمن _ تنيس روي ميز,"پيش نياز: 1818080 تربيت بدني
پيش نياز: 1818084 تربيت بدني ويژه
پيش نياز: 1816010 تربيت بدني
پيش نياز: 1816084 تربيت بدني ويژه
معادل: 1816083 ورزش1
معادل: 1818085 ورزش ويژه",تنيس روي ميز,1,1,واحد_ع,False,
1818083_03,ورزش1,15,مرد,غفراني محسن,درس(ع): يك شنبه 09:30-11:30,سالن ورزشي 22 بهمن _ تنيس روي ميز,"پيش نياز: 1818080 تربيت بدني
پيش نياز: 1818084 تربيت بدني ويژه
پيش نياز: 1816010 تربيت بدني
پيش نياز: 1816084 تربيت بدني ويژه
معادل: 1816083 ورزش1
معادل: 1818085 ورزش ويژه",تنيس روي ميز,1,1,واحد_ع,False,
1818083_04,ورزش1,15,مرد,دلاور رضا,درس(ع): دوشنبه 07:30-09:30,سالن ورزشي 22 بهمن _ تنيس روي ميز,"پيش نياز: 1818080 تربيت بدني
پيش نياز: 1818084 تربيت بدني ويژه
پيش نياز: 1816010 تربيت بدني
پيش نياز: 1816084 تربيت بدني ويژه
معادل: 1816083 ورزش1
معادل: 1818085 ورزش ويژه",تنيس روي ميز,1,1,واحد_ع,False,
